authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,predict
Kyeon Heo,https://yt3.ggpht.com/ytc/AKedOLRO2YMhAcJ_uHHyg1coO-DkJKTA8N_qo06SwMp5PQ=s48-c-k-c0x00ffffff-no-rj,아니 영어 못해도 할 말은 좀 미리 준비하고가시지 제가 다 화끈거리네요ㅋㅋㅋ,아니 영어 못해도 할 말은 좀 미리 준비하고가시지 제가 다 화끈거리네요ㅋㅋㅋ,0,20211128,good_feedback
이스ess,https://yt3.ggpht.com/ytc/AKedOLTagxFYtGuAhiqNgEi_F8e1oXz2rMGc7TAAfrEt=s48-c-k-c0x00ffffff-no-rj,"왜 아싸는 인싸, 인싸는 아싸라고 자칭하는지 궁금합니다","왜 아싸는 인싸, 인싸는 아싸라고 자칭하는지 궁금합니다",1,20211128,contents
Real Fun TV,https://yt3.ggpht.com/ytc/AKedOLQH6ZXyhZfVs8uu1I7xRQhhuEQynVOXgj8n7LqB=s48-c-k-c0x00ffffff-no-rj,연기를 잘한거 같은데 나만그런가 ㅋ,연기를 잘한거 같은데 나만그런가 ㅋ,0,20211119,bad_feedback
zxc zxc,https://yt3.ggpht.com/ytc/AKedOLRoO8Hl0xq1lGz-QwYSjcz9DkIYTYa-gbRbGA=s48-c-k-c0x00ffffff-no-rj,진용진님 귀여운척 하는거 점점 짜증나네요,진용진님 귀여운척 하는거 점점 짜증나네요,0,20211116,bad_feedback
42b wawa,https://yt3.ggpht.com/ytc/AKedOLT_81TEx3eb8btVxA71PEMonucwphZa5nHO-g=s48-c-k-c0x00ffffff-no-rj,근데 자막이 있어야 평가를 제대로 할 수 있을 것 같은데용,근데 자막이 있어야 평가를 제대로 할 수 있을 것 같은데용,1,20211106,good_feedback
이해찬 오른팔,https://yt3.ggpht.com/EvcPSr9c3T9BSEdPOJkZ7-T1DJUtNAEOlWwuH02nIMtmvGOmqWf5LcJyj-eoN3harigou6kZzD0=s48-c-k-c0x00ffffff-no-rj,와 나 이거 완전 궁금했었는데 ㅠㅠ,와 나 이거 완전 궁금했었는데 ㅠㅠ,0,20211104,good_feedback
ㅇ,https://yt3.ggpht.com/1lK4L5z4JoKKrvWrn3FuDJWazjQYuB81jmwumnTE3Ed_hPtYgBTfzwN1oSuUUQzstWxb85OhyQw=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=x6uch2GSnnE&amp;t=4m43s"">4:43</a> ㅅㅂ 카오게이 ㅋㅋㅋㅋㅋ",4:43 ㅅㅂ 카오게이 ㅋㅋㅋㅋㅋ,1,20211103,good_feedback
행군엔양갱,https://yt3.ggpht.com/ytc/AKedOLSVQTu7V5KL1TWqFqZs8QYEconfDAk15npXpOr1KQ=s48-c-k-c0x00ffffff-no-rj,파칭코를 여기서 볼줄이야,파칭코를 여기서 볼줄이야,0,20211030,good_feedback
경환 김,https://yt3.ggpht.com/ytc/AKedOLTji9WhTxsKr1pwOv2ujoCRY2fttDS-KRAtsvAHP5wkug=s48-c-k-c0x00ffffff-no-rj,아니 연기 잘하는데?...,아니 연기 잘하는데?...,0,20211030,good_feedback
Suhong Im,https://yt3.ggpht.com/ytc/AKedOLRWgn9cD7VOkQfu3VNWXqp_fiPXbtEilazH6HOg2g=s48-c-k-c0x00ffffff-no-rj,이거는 핵발연기 영상을 보여주면 발연기 영상이 프로같아 보이는 실험인데요?ㅋㅋㅋㅋ,이거는 핵발연기 영상을 보여주면 발연기 영상이 프로같아 보이는 실험인데요?ㅋㅋㅋㅋ,0,20211027,contents
